 1,  -2.3349, -0.5493
 2,  -2.6800,  0.1725
 3,  -3.5189,  0.5327
 4,  -1.2156, -0.2120
 5,  -2.2483,  0.9611
 6,  -2.8244, -0.2092
 7,  -5.1337,  0.5915
 8,  -4.2179,  0.1009
 9,  -5.1026,  1.8017
 10,  -5.6720, -0.2830
 11,  -7.2266,  0.6139
 12,  -7.1051, -0.2641
 13,  -6.6848,  0.3654
 14,  -4.7570, -1.9439
 15,  -8.3145,  0.6143
 16,  -5.1598,  0.4063
 17,  -4.3254, -1.7282
 18,  -2.4277,  0.8441
 19,  -3.7499, -0.7988
 20,  -2.8429, -0.9596
 21,  -2.0008,  0.2888
 22,  -2.5347, -1.3428
 23,  -0.5795, -0.0748
 24,  -3.2457, -0.6053
 25,  -2.3179, -0.9909
 26,   1.2085, -1.6937
 27,   0.4461, -0.8111
 28,   1.6993, -1.2350
 29,  -0.7889, -0.4785
 30,  -1.7218, -1.1825
 31,  -0.7276, -2.6136
 32,  -1.1896, -1.1732
 33,  -1.0072,  1.6695
 34,  -0.1475,  1.2042
 35,  -2.8589,  0.7970
 36,  -2.2107,  2.1809
 37,  -1.4692, -0.3914
 38,   1.3034,  1.3271
 39,  -1.4361, -0.4749
 40,   2.0485, -1.0894
 41,  -1.2491,  0.8611
 42,  -1.4641, -0.3876
 43,  -1.6358, -0.1818
 44,  -1.6642, -0.2145
 45,  -0.3964,  0.8935
 46,   0.1992, -0.5362
 47,   0.9373,  1.0220
 48,   1.3784, -1.6659
 49,   2.0527,  0.3055
 50,   1.3001,  0.6424
 51,   0.3476, -2.5967
 52,  -0.3100,  0.5844
 53,   2.2202,  1.6808
 54,   1.5962, -0.5163
 55,   0.0154, -0.4215
 56,   3.0270, -2.7668
 57,   0.4160, -0.4348
 58,  -2.8045,  0.8667
 59,  -0.8243,  1.8896
 60,  -2.1311, -0.2249
 61,  -1.5485, -1.6573
 62,   0.0458,  0.0233
 63,   1.4979, -1.3476
 64,   1.4417, -1.2686
 65,  -0.6756, -0.2859
 66,  -1.2268, -1.9722
 67,   1.3201, -2.0325
 68,   0.4615, -1.2343
 69,   1.5428,  0.8490
 70,  -0.6443, -0.1153
 71,   0.8984,  1.8663
 72,  -1.8685, -1.7704
 73,   0.1066,  1.5764
 74,   0.2411, -0.6782
